w.wilen@wictordev.onmicrosoft.com; TypeScript; expert; askMeAbout;federatedOrganizations
w.wilen@wictordev.onmicrosoft.com; Product Management; elementary; wantsToLearn;organization
w.wilen@wictordev.onmicrosoft.com; Product Leadership; expert; askMeAbout;organization
w.wilen@wictordev.onmicrosoft.com; SharePoint; expert; askMeAbout,ableToMentor;federatedOrganizations
w.wilen@wictordev.onmicrosoft.com; XT1000; expert; askMeAbout,ableToMentor;organization
bob@wictordev.onmicrosoft.com; XT1000; expert; askMeAbout,ableToMentor;organization
bob@wictordev.onmicrosoft.com; XT1001; expert; askMeAbout,ableToMentor;organization
bob@wictordev.onmicrosoft.com; XT1001; expert; askMeAbout,ableToMentor;organization
bob@wictordev.onmicrosoft.com; XT1003; expert; askMeAbout,ableToMentor;organization
bob@wictordev.onmicrosoft.com; DEMO123; expert; askMeAbout,ableToMentor;organization
bob@wictordev.onmicrosoft.com; Public Speaking; elementary; ;organization


